episode,time_sec,tick,leader_phase,leader_speed_mps,follower_speed_mps,distance_m,desired_distance_m,spacing_error_m,relative_velocity_mps,thw_sec,observed_distance_m,observed_lead_speed_mps,control_spacing_error_m,control_relative_velocity_mps,throttle,brake,comm_success,time_since_last_comm_success_sec
3,0.05,1,accelerate,0.0,0.0,12.825,7.0,5.825,0.0,128.247,12.825,0.0,5.825,0.0,0.778,0.0,1,0.0
3,0.1,2,accelerate,0.003,0.003,12.825,7.003,5.822,0.0,128.247,12.825,0.0,5.822,-0.003,0.778,0.0,0,0.05
3,0.15,3,accelerate,0.001,0.001,12.825,7.001,5.824,0.0,128.247,12.825,0.0,5.824,-0.001,0.779,0.0,0,0.1
3,0.2,4,accelerate,0.0,0.0,12.825,7.0,5.825,-0.0,128.247,12.825,0.0,5.825,-0.0,0.78,0.0,0,0.15
3,0.25,5,accelerate,0.0,0.001,12.825,7.001,5.824,-0.0,128.247,12.825,0.0,5.824,-0.001,0.781,0.0,0,0.2
3,0.3,6,accelerate,0.001,0.001,12.825,7.001,5.824,-0.0,128.247,12.825,0.001,5.824,-0.0,0.782,0.0,1,0.0
3,0.35,7,accelerate,0.001,0.001,12.825,7.001,5.824,-0.0,128.247,12.825,0.001,5.824,0.0,0.783,0.0,0,0.05
3,0.4,8,accelerate,0.0,0.0,12.825,7.0,5.824,-0.0,128.247,12.825,0.001,5.824,0.0,0.784,0.0,0,0.1
3,0.45,9,accelerate,0.0,0.0,12.825,7.0,5.824,-0.0,128.247,12.825,0.001,5.824,0.0,0.785,0.0,0,0.15
3,0.5,10,accelerate,0.0,0.0,12.825,7.0,5.825,-0.0,128.247,12.825,0.0,5.825,-0.0,0.786,0.0,1,0.0
3,0.55,11,accelerate,0.0,0.0,12.825,7.0,5.825,-0.0,128.247,12.825,0.0,5.825,-0.0,0.787,0.0,0,0.05
3,0.6,12,accelerate,0.0,0.0,12.825,7.0,5.825,-0.0,128.247,12.825,0.0,5.825,-0.0,0.788,0.0,1,0.0
3,0.65,13,accelerate,0.158,0.305,12.82,7.305,5.515,-0.146,42.097,12.82,0.158,5.515,-0.146,0.743,0.0,1,0.0
3,0.7,14,accelerate,0.518,0.628,12.815,7.628,5.187,-0.11,20.405,12.815,0.518,5.187,-0.11,0.701,0.0,1,0.0
3,0.75,15,accelerate,0.821,0.893,12.812,7.893,4.919,-0.072,14.346,12.812,0.821,4.919,-0.072,0.668,0.0,1,0.0
3,0.8,16,accelerate,1.035,1.004,12.813,8.004,4.81,0.031,12.767,12.766,0.821,4.762,-0.183,0.644,0.0,0,0.05
3,0.85,17,accelerate,1.162,1.155,12.816,8.155,4.66,0.007,11.092,12.714,0.821,4.559,-0.334,0.612,0.0,0,0.1
3,0.9,18,accelerate,1.301,1.255,12.82,8.255,4.565,0.047,10.218,12.656,0.821,4.402,-0.434,0.589,0.0,0,0.15
3,0.95,19,accelerate,1.417,1.334,12.825,8.334,4.492,0.083,9.616,12.594,0.821,4.26,-0.513,0.568,0.0,0,0.2
3,1.0,20,accelerate,1.543,1.461,12.831,8.461,4.37,0.082,8.785,12.831,1.543,4.37,0.082,0.603,0.0,1,0.0
3,1.05,21,accelerate,1.645,1.528,12.838,8.528,4.311,0.117,8.405,12.759,1.543,4.231,0.015,0.583,0.0,0,0.05
3,1.1,22,accelerate,1.806,1.597,12.849,8.597,4.252,0.208,8.044,12.683,1.543,4.086,-0.055,0.562,0.0,0,0.1
3,1.15,23,accelerate,1.917,1.661,12.863,8.661,4.202,0.256,7.744,12.604,1.543,3.943,-0.119,0.542,0.0,0,0.15
3,1.2,24,accelerate,2.082,1.726,12.881,8.726,4.155,0.356,7.463,12.881,2.082,4.155,0.356,0.587,0.0,1,0.0
3,1.25,25,accelerate,2.228,1.788,12.904,8.788,4.116,0.44,7.216,12.796,2.082,4.008,0.294,0.566,0.0,0,0.05
3,1.3,26,accelerate,2.418,1.854,12.932,8.854,4.078,0.564,6.975,12.932,2.418,4.078,0.564,0.585,0.0,1,0.0
3,1.35,27,accelerate,2.584,1.922,12.966,8.922,4.044,0.662,6.747,12.841,2.418,3.919,0.496,0.562,0.0,0,0.05
3,1.4,28,accelerate,2.755,1.995,13.004,8.995,4.009,0.76,6.518,13.004,2.755,4.009,0.76,0.583,0.0,1,0.0
3,1.45,29,accelerate,2.842,2.071,13.046,9.071,3.975,0.772,6.3,13.046,2.842,3.975,0.772,0.58,0.0,1,0.0
3,1.5,30,accelerate,2.887,2.153,13.086,9.153,3.933,0.735,6.079,12.943,2.842,3.791,0.69,0.553,0.0,0,0.05
3,1.55,31,accelerate,2.886,2.235,13.123,9.235,3.888,0.652,5.872,13.123,2.886,3.888,0.652,0.565,0.0,1,0.0
3,1.6,32,accelerate,2.919,2.319,13.157,9.319,3.838,0.6,5.674,13.012,2.886,3.694,0.568,0.537,0.0,0,0.05
3,1.65,33,accelerate,2.98,2.387,13.189,9.387,3.802,0.593,5.525,12.898,2.886,3.511,0.499,0.511,0.0,0,0.1
3,1.7,34,accelerate,3.108,2.443,13.223,9.443,3.78,0.665,5.412,13.223,3.108,3.78,0.665,0.553,0.0,1,0.0
3,1.75,35,accelerate,3.256,2.507,13.261,9.507,3.754,0.749,5.29,13.102,3.108,3.595,0.602,0.527,0.0,0,0.05
3,1.8,36,accelerate,3.447,2.592,13.303,9.592,3.711,0.854,5.132,12.976,3.108,3.384,0.516,0.497,0.0,0,0.1
3,1.85,37,accelerate,3.624,2.67,13.351,9.67,3.681,0.954,5.001,12.847,3.108,3.177,0.439,0.467,0.0,0,0.15
3,1.9,38,accelerate,3.752,2.739,13.402,9.739,3.663,1.012,4.893,13.402,3.752,3.663,1.012,0.552,0.0,1,0.0
3,1.95,39,accelerate,3.783,2.804,13.454,9.804,3.649,0.979,4.797,13.266,3.752,3.461,0.947,0.523,0.0,0,0.05
3,2.0,40,accelerate,3.783,2.876,13.502,9.876,3.626,0.906,4.694,13.502,3.783,3.626,0.906,0.544,0.0,1,0.0
3,2.05,41,accelerate,3.797,2.949,13.546,9.949,3.597,0.848,4.594,13.546,3.797,3.597,0.848,0.539,0.0,1,0.0
3,2.1,42,accelerate,3.888,3.027,13.59,10.027,3.563,0.861,4.489,13.398,3.797,3.371,0.77,0.507,0.0,0,0.05
3,2.15,43,accelerate,4.026,3.103,13.636,10.103,3.532,0.922,4.394,13.246,3.797,3.143,0.694,0.474,0.0,0,0.1
3,2.2,44,accelerate,4.199,3.174,13.686,10.174,3.512,1.025,4.311,13.686,4.199,3.512,1.025,0.535,0.0,1,0.0
3,2.25,45,accelerate,4.381,3.243,13.742,10.243,3.499,1.138,4.238,13.527,4.199,3.284,0.956,0.503,0.0,0,0.05
3,2.3,46,accelerate,4.541,3.315,13.803,10.315,3.488,1.226,4.164,13.803,4.541,3.488,1.226,0.54,0.0,1,0.0
3,2.35,47,accelerate,4.619,3.388,13.866,10.388,3.478,1.231,4.093,13.866,4.619,3.478,1.231,0.539,0.0,1,0.0
3,2.4,48,accelerate,4.628,3.468,13.926,10.468,3.458,1.16,4.016,13.695,4.619,3.227,1.151,0.504,0.0,0,0.05
3,2.45,49,accelerate,4.627,3.546,13.983,10.546,3.436,1.081,3.943,13.521,4.619,2.975,1.072,0.468,0.0,0,0.1
3,2.5,50,accelerate,4.685,3.617,14.037,10.617,3.421,1.068,3.881,14.037,4.685,3.421,1.068,0.528,0.0,1,0.0
3,2.55,51,accelerate,4.803,3.671,14.093,10.671,3.422,1.132,3.839,13.856,4.685,3.185,1.014,0.495,0.0,0,0.05
3,2.6,52,accelerate,4.956,3.739,14.153,10.739,3.415,1.217,3.786,13.671,4.685,2.933,0.946,0.46,0.0,0,0.1
3,2.65,53,accelerate,5.128,3.801,14.218,10.801,3.417,1.327,3.74,13.483,4.685,2.682,0.883,0.425,0.0,0,0.15
3,2.7,54,accelerate,5.243,3.851,14.287,10.851,3.437,1.392,3.71,14.287,5.243,3.437,1.392,0.543,0.0,1,0.0
3,2.75,55,accelerate,5.09,3.899,14.352,10.899,3.453,1.191,3.681,14.094,5.243,3.195,1.344,0.51,0.0,0,0.05
