episode,time_sec,tick,leader_phase,leader_speed_mps,follower_speed_mps,distance_m,desired_distance_m,spacing_error_m,relative_velocity_mps,thw_sec,observed_distance_m,observed_lead_speed_mps,control_spacing_error_m,control_relative_velocity_mps,throttle,brake,comm_success,time_since_last_comm_success_sec
14,0.05,1,accelerate,0.0,0.0,12.825,7.0,5.825,0.0,128.247,12.825,0.0,5.825,0.0,0.778,0.0,0,0.05
14,0.1,2,accelerate,0.003,0.003,12.825,7.003,5.822,0.0,128.247,12.825,0.0,5.822,-0.003,0.778,0.0,0,0.1
14,0.15,3,accelerate,0.001,0.001,12.825,7.001,5.824,0.0,128.247,12.825,0.001,5.824,0.0,0.779,0.0,1,0.0
14,0.2,4,accelerate,0.0,0.0,12.825,7.0,5.825,-0.0,128.247,12.825,0.001,5.825,0.001,0.781,0.0,0,0.05
14,0.25,5,accelerate,0.0,0.001,12.825,7.001,5.824,-0.0,128.247,12.825,0.001,5.824,0.0,0.781,0.0,0,0.1
14,0.3,6,accelerate,0.001,0.001,12.825,7.001,5.824,-0.0,128.247,12.825,0.001,5.824,-0.0,0.782,0.0,1,0.0
14,0.35,7,accelerate,0.001,0.001,12.825,7.001,5.824,-0.0,128.247,12.825,0.001,5.824,-0.0,0.783,0.0,1,0.0
14,0.4,8,accelerate,0.0,0.0,12.825,7.0,5.824,-0.0,128.247,12.825,0.0,5.824,-0.0,0.784,0.0,1,0.0
14,0.45,9,accelerate,0.0,0.0,12.825,7.0,5.824,-0.0,128.247,12.825,0.0,5.824,-0.0,0.785,0.0,1,0.0
14,0.5,10,accelerate,0.0,0.0,12.825,7.0,5.825,-0.0,128.247,12.825,0.0,5.825,0.0,0.786,0.0,0,0.05
14,0.55,11,accelerate,0.0,0.0,12.825,7.0,5.825,-0.0,128.247,12.825,0.0,5.825,-0.0,0.787,0.0,1,0.0
14,0.6,12,accelerate,0.0,0.0,12.825,7.0,5.825,-0.0,128.247,12.825,0.0,5.825,-0.0,0.788,0.0,1,0.0
14,0.65,13,accelerate,0.158,0.305,12.82,7.305,5.515,-0.146,42.097,12.818,0.0,5.514,-0.304,0.738,0.0,0,0.05
14,0.7,14,accelerate,0.518,0.628,12.815,7.628,5.187,-0.11,20.408,12.815,0.518,5.187,-0.11,0.701,0.0,1,0.0
14,0.75,15,accelerate,0.821,0.892,12.812,7.892,4.92,-0.071,14.362,12.812,0.821,4.92,-0.071,0.668,0.0,1,0.0
14,0.8,16,accelerate,1.035,1.034,12.814,8.034,4.78,0.001,12.398,12.814,1.035,4.78,0.001,0.652,0.0,1,0.0
14,0.85,17,accelerate,1.162,1.15,12.815,8.15,4.665,0.012,11.143,12.815,1.162,4.665,0.012,0.638,0.0,1,0.0
14,0.9,18,accelerate,1.301,1.24,12.819,8.24,4.579,0.062,10.341,12.819,1.301,4.579,0.062,0.629,0.0,1,0.0
14,0.95,19,accelerate,1.417,1.368,12.824,8.368,4.456,0.049,9.373,12.824,1.417,4.456,0.049,0.613,0.0,1,0.0
14,1.0,20,accelerate,1.543,1.45,12.829,8.45,4.379,0.093,8.848,12.829,1.543,4.379,0.093,0.605,0.0,1,0.0
14,1.05,21,accelerate,1.645,1.532,12.837,8.532,4.305,0.113,8.379,12.757,1.543,4.225,0.011,0.582,0.0,0,0.05
14,1.1,22,accelerate,1.806,1.605,12.848,8.605,4.242,0.2,8.003,12.848,1.806,4.242,0.2,0.592,0.0,1,0.0
14,1.15,23,accelerate,1.917,1.678,12.861,8.678,4.183,0.239,7.664,12.861,1.917,4.183,0.239,0.586,0.0,1,0.0
14,1.2,24,accelerate,2.082,1.749,12.878,8.749,4.13,0.333,7.364,12.778,1.917,4.03,0.169,0.564,0.0,0,0.05
14,1.25,25,accelerate,2.228,1.823,12.9,8.823,4.077,0.405,7.077,12.9,2.228,4.077,0.405,0.579,0.0,1,0.0
14,1.3,26,accelerate,2.418,1.893,12.926,8.893,4.033,0.525,6.829,12.81,2.228,3.917,0.335,0.556,0.0,0,0.05
14,1.35,27,accelerate,2.584,1.969,12.957,8.969,3.988,0.615,6.58,12.957,2.584,3.988,0.615,0.575,0.0,1,0.0
14,1.4,28,accelerate,2.755,2.043,12.994,9.043,3.95,0.712,6.359,12.994,2.755,3.95,0.712,0.574,0.0,1,0.0
14,1.45,29,accelerate,2.842,2.125,13.032,9.125,3.907,0.717,6.133,13.032,2.842,3.907,0.717,0.569,0.0,1,0.0
14,1.5,30,accelerate,2.887,2.205,13.07,9.205,3.865,0.682,5.926,13.07,2.887,3.865,0.682,0.563,0.0,1,0.0
14,1.55,31,accelerate,2.886,2.291,13.104,9.291,3.813,0.595,5.72,12.961,2.887,3.67,0.596,0.535,0.0,0,0.05
14,1.6,32,accelerate,2.919,2.372,13.136,9.372,3.763,0.546,5.537,12.848,2.887,3.475,0.515,0.507,0.0,0,0.1
14,1.65,33,accelerate,2.98,2.438,13.165,9.438,3.728,0.542,5.401,12.73,2.887,3.293,0.449,0.481,0.0,0,0.15
14,1.7,34,accelerate,3.108,2.483,13.197,9.483,3.714,0.625,5.314,12.61,2.887,3.127,0.404,0.457,0.0,0,0.2
14,1.75,35,accelerate,3.256,2.535,13.233,9.535,3.698,0.721,5.22,12.487,2.887,2.952,0.352,0.433,0.0,0,0.25
14,1.8,36,accelerate,3.447,2.592,13.275,9.592,3.684,0.855,5.123,12.361,2.887,2.77,0.296,0.407,0.0,0,0.3
14,1.85,37,accelerate,3.624,2.642,13.324,9.642,3.682,0.982,5.043,12.232,2.887,2.59,0.245,0.382,0.0,0,0.35
14,1.9,38,accelerate,3.752,2.672,13.378,9.672,3.706,1.08,5.007,12.101,2.887,2.429,0.215,0.36,0.0,0,0.4
14,1.95,39,accelerate,3.783,2.697,13.434,9.697,3.737,1.086,4.981,13.434,3.783,3.737,1.086,0.564,0.0,1,0.0
14,2.0,40,accelerate,3.783,2.714,13.489,9.714,3.775,1.068,4.97,13.3,3.783,3.586,1.069,0.544,0.0,0,0.05
14,2.05,41,accelerate,3.797,2.756,13.542,9.756,3.787,1.042,4.915,13.165,3.783,3.409,1.027,0.519,0.0,0,0.1
14,2.1,42,accelerate,3.888,2.803,13.597,9.803,3.794,1.086,4.851,13.597,3.888,3.794,1.086,0.573,0.0,1,0.0
14,2.15,43,accelerate,4.026,2.866,13.654,9.866,3.788,1.16,4.764,13.456,3.888,3.59,1.022,0.545,0.0,0,0.05
14,2.2,44,accelerate,4.199,2.935,13.716,9.935,3.781,1.264,4.673,13.312,3.888,3.377,0.953,0.514,0.0,0,0.1
14,2.25,45,accelerate,4.381,3.011,13.783,10.011,3.773,1.37,4.578,13.783,4.381,3.773,1.37,0.582,0.0,1,0.0
14,2.3,46,accelerate,4.541,3.088,13.856,10.088,3.768,1.453,4.487,13.856,4.541,3.768,1.453,0.585,0.0,1,0.0
14,2.35,47,accelerate,4.619,3.179,13.929,10.179,3.75,1.439,4.381,13.929,4.619,3.75,1.439,0.582,0.0,1,0.0
14,2.4,48,accelerate,4.628,3.277,14.0,10.277,3.723,1.351,4.272,14.0,4.628,3.723,1.351,0.576,0.0,1,0.0
14,2.45,49,accelerate,4.627,3.382,14.065,10.382,3.683,1.245,4.158,13.834,4.628,3.452,1.245,0.537,0.0,0,0.05
14,2.5,50,accelerate,4.685,3.483,14.126,10.483,3.643,1.201,4.055,14.126,4.685,3.643,1.201,0.562,0.0,1,0.0
14,2.55,51,accelerate,4.803,3.583,14.188,10.583,3.605,1.22,3.959,14.188,4.803,3.605,1.22,0.558,0.0,1,0.0
14,2.6,52,accelerate,4.956,3.669,14.252,10.669,3.582,1.286,3.884,14.007,4.803,3.338,1.133,0.52,0.0,0,0.05
14,2.65,53,accelerate,5.128,3.763,14.319,10.763,3.556,1.365,3.805,14.319,5.128,3.556,1.365,0.558,0.0,1,0.0
14,2.7,54,accelerate,5.243,3.854,14.39,10.854,3.536,1.389,3.734,14.129,5.128,3.275,1.274,0.518,0.0,0,0.05
14,2.75,55,accelerate,5.09,3.944,14.452,10.944,3.509,1.146,3.665,14.452,5.09,3.509,1.146,0.545,0.0,1,0.0
14,2.8,56,accelerate,5.093,4.026,14.508,11.026,3.481,1.067,3.603,14.253,5.09,3.227,1.063,0.505,0.0,0,0.05
14,2.85,57,accelerate,5.0,4.107,14.556,11.107,3.449,0.893,3.544,14.05,5.09,2.943,0.983,0.465,0.0,0,0.1
14,2.9,58,accelerate,5.459,4.173,14.614,11.173,3.441,1.286,3.502,13.844,5.09,2.671,0.917,0.427,0.0,0,0.15
14,2.95,59,accelerate,5.818,4.224,14.689,11.224,3.465,1.594,3.478,14.689,5.818,3.465,1.594,0.556,0.0,1,0.0
14,3.0,60,accelerate,5.924,4.258,14.771,11.258,3.513,1.665,3.469,14.477,5.818,3.219,1.559,0.523,0.0,0,0.05
14,3.05,61,accelerate,5.894,4.325,14.852,11.325,3.527,1.568,3.434,14.852,5.894,3.527,1.568,0.565,0.0,1,0.0
14,3.1,62,accelerate,5.845,4.398,14.927,11.398,3.529,1.447,3.394,14.927,5.845,3.529,1.447,0.562,0.0,1,0.0
14,3.15,63,accelerate,5.815,4.48,14.996,11.48,3.516,1.335,3.347,14.996,5.815,3.516,1.335,0.557,0.0,1,0.0
14,3.2,64,accelerate,5.815,4.565,15.061,11.565,3.496,1.25,3.299,14.77,5.815,3.206,1.25,0.513,0.0,0,0.05
14,3.25,65,accelerate,5.848,4.645,15.122,11.645,3.477,1.203,3.256,14.54,5.815,2.895,1.17,0.469,0.0,0,0.1
14,3.3,66,accelerate,5.915,4.71,15.182,11.71,3.472,1.205,3.223,15.182,5.915,3.472,1.205,0.548,0.0,1,0.0
14,3.35,67,accelerate,6.014,4.772,15.244,11.772,3.472,1.242,3.195,15.244,6.014,3.472,1.242,0.55,0.0,1,0.0
14,3.4,68,accelerate,6.142,4.827,15.309,11.827,3.481,1.314,3.171,15.309,6.142,3.481,1.314,0.554,0.0,1,0.0
14,3.45,69,accelerate,6.136,4.906,15.372,11.906,3.466,1.23,3.133,15.372,6.136,3.466,1.23,0.55,0.0,1,0.0
14,3.5,70,accelerate,6.131,4.986,15.431,11.986,3.445,1.146,3.095,15.125,6.136,3.139,1.15,0.504,0.0,0,0.05
14,3.55,71,accelerate,6.633,5.059,15.498,12.059,3.439,1.575,3.064,14.873,6.136,2.815,1.077,0.459,0.0,0,0.1
14,3.6,72,accelerate,7.16,5.09,15.592,12.09,3.502,2.07,3.063,15.592,7.16,3.502,2.07,0.584,0.0,1,0.0
14,3.65,73,accelerate,7.555,5.003,15.711,12.003,3.708,2.552,3.14,15.341,7.16,3.338,2.156,0.566,0.0,0,0.05
14,3.7,74,accelerate,7.722,4.97,15.844,11.97,3.874,2.752,3.188,15.844,7.722,3.874,2.752,0.658,0.0,1,0.0
14,3.75,75,accelerate,7.703,5.102,15.977,12.102,3.874,2.601,3.131,15.591,7.722,3.489,2.62,0.603,0.0,0,0.05
14,3.8,76,accelerate,7.626,5.023,16.108,12.023,4.085,2.603,3.207,16.108,7.626,4.085,2.603,0.682,0.0,1,0.0
14,3.85,77,accelerate,7.518,5.057,16.235,12.057,4.178,2.461,3.21,15.857,7.626,3.8,2.569,0.644,0.0,0,0.05
14,3.9,78,accelerate,7.405,5.26,16.346,12.26,4.086,2.145,3.108,15.596,7.626,3.336,2.366,0.576,0.0,0,0.1
14,3.95,79,accelerate,7.305,5.229,16.451,12.229,4.222,2.076,3.146,16.451,7.305,4.222,2.076,0.685,0.0,1,0.0
14,4.0,80,accelerate,7.248,5.211,16.553,12.211,4.342,2.036,3.176,16.553,7.248,4.342,2.036,0.7,0.0,1,0.0
14,4.05,81,accelerate,7.239,5.214,16.655,12.214,4.44,2.025,3.194,16.293,7.248,4.078,2.034,0.666,0.0,0,0.05
14,4.1,82,accelerate,7.276,5.242,16.756,12.242,4.514,2.034,3.196,16.756,7.276,4.514,2.034,0.724,0.0,1,0.0
14,4.15,83,accelerate,7.341,5.292,16.858,12.292,4.566,2.049,3.186,16.858,7.341,4.566,2.049,0.733,0.0,1,0.0
14,4.2,84,accelerate,7.448,5.375,16.961,12.375,4.586,2.073,3.155,16.591,7.341,4.216,1.965,0.684,0.0,0,0.05
14,4.25,85,accelerate,7.583,5.484,17.066,12.484,4.582,2.099,3.112,16.319,7.341,3.836,1.857,0.63,0.0,0,0.1
14,4.3,86,accelerate,7.741,5.604,17.172,12.604,4.567,2.136,3.064,17.172,7.741,4.567,2.136,0.738,0.0,1,0.0
14,4.35,87,accelerate,7.905,5.732,17.28,12.732,4.548,2.174,3.015,17.28,7.905,4.548,2.174,0.737,0.0,1,0.0
14,4.4,88,accelerate,8.086,5.881,17.389,12.881,4.507,2.205,2.957,16.988,7.905,4.107,2.024,0.674,0.0,0,0.05
14,4.45,89,accelerate,8.279,5.872,17.505,12.872,4.632,2.406,2.981,16.695,7.905,3.822,2.033,0.637,0.0,0,0.1
14,4.5,90,accelerate,8.479,5.867,17.631,12.867,4.764,2.612,3.005,17.631,8.479,4.764,2.612,0.783,0.0,1,0.0
14,4.55,91,accelerate,8.672,6.385,17.755,13.385,4.37,2.287,2.781,17.755,8.672,4.37,2.287,0.72,0.0,1,0.0
14,4.6,92,accelerate,8.875,6.927,17.856,13.927,3.929,1.948,2.578,17.417,8.672,3.491,1.745,0.585,0.0,0,0.05
14,4.65,93,accelerate,9.083,7.338,17.945,14.338,3.606,1.745,2.445,17.945,9.083,3.606,1.745,0.601,0.0,1,0.0
14,4.7,94,accelerate,9.294,7.632,18.027,14.632,3.395,1.662,2.362,17.568,9.083,2.936,1.451,0.503,0.0,0,0.05
14,4.75,95,accelerate,9.471,7.792,18.109,14.792,3.317,1.679,2.324,17.182,9.083,2.389,1.291,0.425,0.0,0,0.1
14,4.8,96,accelerate,9.572,7.91,18.19,14.91,3.28,1.663,2.3,18.19,9.572,3.28,1.663,0.557,0.0,1,0.0
14,4.85,97,accelerate,9.588,7.998,18.268,14.998,3.27,1.59,2.284,18.268,9.588,3.27,1.59,0.553,0.0,1,0.0
14,4.9,98,accelerate,9.536,8.081,18.34,15.081,3.259,1.455,2.269,17.866,9.588,2.785,1.506,0.486,0.0,0,0.05
14,4.95,99,accelerate,9.505,8.156,18.405,15.156,3.248,1.349,2.257,17.46,9.588,2.304,1.431,0.42,0.0,0,0.1
14,5.0,100,accelerate,9.53,8.214,18.466,15.214,3.252,1.316,2.248,17.05,9.588,1.836,1.374,0.356,0.0,0,0.15
14,5.05,101,accelerate,9.595,8.249,18.527,15.249,3.279,1.346,2.246,18.527,9.595,3.279,1.346,0.548,0.0,1,0.0
14,5.1,102,accelerate,9.682,8.269,18.591,15.269,3.322,1.413,2.248,18.115,9.595,2.846,1.326,0.49,0.0,0,0.05
14,5.15,103,accelerate,9.807,8.294,18.657,15.294,3.363,1.514,2.249,17.701,9.595,2.407,1.301,0.431,0.0,0,0.1
14,5.2,104,accelerate,9.966,8.316,18.728,15.316,3.412,1.65,2.252,17.286,9.595,1.97,1.278,0.373,0.0,0,0.15
14,5.25,105,accelerate,10.118,8.327,18.806,15.327,3.478,1.791,2.258,18.806,10.118,3.478,1.791,0.591,0.0,1,0.0
14,5.3,106,accelerate,10.302,8.332,18.889,15.332,3.557,1.969,2.267,18.889,10.302,3.557,1.969,0.608,0.0,1,0.0
14,5.35,107,accelerate,10.492,8.357,18.981,15.357,3.625,2.135,2.271,18.473,10.302,3.117,1.945,0.549,0.0,0,0.05
14,5.4,108,accelerate,10.664,8.396,19.079,15.396,3.683,2.268,2.272,19.079,10.664,3.683,2.268,0.636,0.0,1,0.0
14,5.45,109,accelerate,10.69,8.447,19.176,15.447,3.729,2.243,2.27,19.176,10.69,3.729,2.243,0.642,0.0,1,0.0
14,5.5,110,accelerate,10.644,8.517,19.27,15.517,3.754,2.128,2.263,19.27,10.644,3.754,2.128,0.642,0.0,1,0.0
14,5.55,111,accelerate,10.944,8.601,19.366,15.601,3.765,2.342,2.252,19.366,10.944,3.765,2.342,0.652,0.0,1,0.0
14,5.6,112,accelerate,11.276,8.698,19.475,15.698,3.777,2.578,2.239,19.475,11.276,3.777,2.578,0.662,0.0,1,0.0
14,5.65,113,accelerate,11.476,8.805,19.589,15.805,3.784,2.671,2.225,19.041,11.276,3.235,2.47,0.586,0.0,0,0.05
14,5.7,114,accelerate,11.466,8.916,19.699,15.916,3.782,2.55,2.209,19.699,11.466,3.782,2.55,0.663,0.0,1,0.0
14,5.75,115,accelerate,11.413,9.026,19.798,16.026,3.772,2.387,2.193,19.798,11.413,3.772,2.387,0.656,0.0,1,0.0
14,5.8,116,accelerate,11.355,9.144,19.891,16.144,3.747,2.211,2.175,19.349,11.413,3.205,2.269,0.577,0.0,0,0.05
14,5.85,117,accelerate,11.294,9.26,19.974,16.26,3.714,2.034,2.157,19.974,11.294,3.714,2.034,0.638,0.0,1,0.0
14,5.9,118,accelerate,11.275,9.371,20.049,16.371,3.678,1.903,2.139,19.516,11.294,3.145,1.923,0.559,0.0,0,0.05
14,5.95,119,accelerate,11.316,9.475,20.119,16.475,3.644,1.84,2.123,19.053,11.294,2.578,1.819,0.48,0.0,0,0.1
14,6.0,120,accelerate,11.396,9.564,20.19,16.564,3.626,1.832,2.111,18.585,11.294,2.022,1.73,0.404,0.0,0,0.15
14,6.05,121,accelerate,11.469,9.624,20.262,16.624,3.638,1.845,2.105,18.115,11.294,1.491,1.67,0.331,0.0,0,0.2
14,6.1,122,accelerate,11.57,9.651,20.335,16.651,3.684,1.919,2.107,17.643,11.294,0.992,1.643,0.264,0.0,0,0.25
14,6.15,123,accelerate,11.639,9.63,20.409,16.63,3.778,2.009,2.119,20.409,11.639,3.778,2.009,0.648,0.0,1,0.0
14,6.2,124,accelerate,11.773,9.602,20.487,16.602,3.885,2.17,2.134,20.487,11.773,3.885,2.17,0.668,0.0,1,0.0
14,6.25,125,accelerate,11.913,9.598,20.577,16.598,3.978,2.315,2.144,20.577,11.913,3.978,2.315,0.686,0.0,1,0.0
