episode,time_sec,tick,leader_phase,leader_speed_mps,follower_speed_mps,distance_m,desired_distance_m,spacing_error_m,relative_velocity_mps,thw_sec,observed_distance_m,observed_lead_speed_mps,control_spacing_error_m,control_relative_velocity_mps,throttle,brake,comm_success,time_since_last_comm_success_sec
12,0.05,1,accelerate,0.0,0.0,12.825,7.0,5.825,0.0,128.247,12.825,0.0,5.825,0.0,0.778,0.0,0,0.05
12,0.1,2,accelerate,0.003,0.003,12.825,7.003,5.822,0.0,128.247,12.825,0.0,5.822,-0.003,0.778,0.0,0,0.1
12,0.15,3,accelerate,0.001,0.001,12.825,7.001,5.824,0.0,128.247,12.825,0.0,5.824,-0.001,0.779,0.0,0,0.15
12,0.2,4,accelerate,0.0,0.0,12.825,7.0,5.825,-0.0,128.247,12.825,0.0,5.825,-0.0,0.78,0.0,1,0.0
12,0.25,5,accelerate,0.0,0.001,12.825,7.001,5.824,-0.0,128.247,12.825,0.0,5.824,-0.0,0.781,0.0,1,0.0
12,0.3,6,accelerate,0.001,0.001,12.825,7.001,5.824,-0.0,128.247,12.825,0.0,5.824,-0.0,0.782,0.0,0,0.05
12,0.35,7,accelerate,0.001,0.001,12.825,7.001,5.824,-0.0,128.247,12.825,0.001,5.824,-0.0,0.783,0.0,1,0.0
12,0.4,8,accelerate,0.0,0.0,12.825,7.0,5.824,-0.0,128.247,12.825,0.0,5.824,-0.0,0.784,0.0,1,0.0
12,0.45,9,accelerate,0.0,0.0,12.825,7.0,5.824,-0.0,128.247,12.825,0.0,5.824,-0.0,0.785,0.0,1,0.0
12,0.5,10,accelerate,0.0,0.0,12.825,7.0,5.825,-0.0,128.247,12.825,0.0,5.825,-0.0,0.786,0.0,1,0.0
12,0.55,11,accelerate,0.0,0.0,12.825,7.0,5.825,-0.0,128.247,12.825,0.0,5.825,-0.0,0.787,0.0,0,0.05
12,0.6,12,accelerate,0.0,0.0,12.825,7.0,5.825,-0.0,128.247,12.825,0.0,5.825,-0.0,0.788,0.0,0,0.1
12,0.65,13,accelerate,0.158,0.305,12.82,7.305,5.515,-0.146,42.097,12.82,0.158,5.515,-0.146,0.743,0.0,1,0.0
12,0.7,14,accelerate,0.518,0.628,12.815,7.628,5.187,-0.11,20.405,12.796,0.158,5.168,-0.47,0.687,0.0,0,0.05
12,0.75,15,accelerate,0.821,0.893,12.812,7.893,4.919,-0.072,14.352,12.812,0.821,4.919,-0.072,0.668,0.0,1,0.0
12,0.8,16,accelerate,1.035,0.981,12.814,7.981,4.834,0.054,13.066,12.814,1.035,4.834,0.054,0.661,0.0,1,0.0
12,0.85,17,accelerate,1.162,1.109,12.819,8.109,4.71,0.053,11.556,12.765,1.035,4.655,-0.075,0.634,0.0,0,0.05
12,0.9,18,accelerate,1.301,1.203,12.825,8.203,4.622,0.098,10.661,12.709,1.035,4.506,-0.168,0.612,0.0,0,0.1
12,0.95,19,accelerate,1.417,1.328,12.831,8.328,4.503,0.089,9.66,12.831,1.417,4.503,0.089,0.621,0.0,1,0.0
12,1.0,20,accelerate,1.543,1.441,12.838,8.441,4.397,0.101,8.908,12.764,1.417,4.323,-0.024,0.594,0.0,0,0.05
12,1.05,21,accelerate,1.645,1.522,12.846,8.522,4.324,0.123,8.44,12.693,1.417,4.171,-0.105,0.571,0.0,0,0.1
12,1.1,22,accelerate,1.806,1.649,12.856,8.649,4.206,0.156,7.794,12.856,1.806,4.206,0.156,0.586,0.0,1,0.0
12,1.15,23,accelerate,1.917,1.714,12.867,8.714,4.154,0.204,7.509,12.867,1.917,4.154,0.204,0.581,0.0,1,0.0
12,1.2,24,accelerate,2.082,1.829,12.882,8.829,4.052,0.253,7.042,12.782,1.917,3.952,0.088,0.551,0.0,0,0.05
12,1.25,25,accelerate,2.228,1.887,12.899,8.887,4.012,0.341,6.834,12.899,2.228,4.012,0.341,0.568,0.0,1,0.0
12,1.3,26,accelerate,2.418,1.99,12.922,8.99,3.932,0.428,6.494,12.805,2.228,3.815,0.238,0.539,0.0,0,0.05
12,1.35,27,accelerate,2.584,2.044,12.949,9.044,3.905,0.54,6.335,12.708,2.228,3.663,0.184,0.517,0.0,0,0.1
12,1.4,28,accelerate,2.755,2.104,12.982,9.104,3.877,0.651,6.169,12.982,2.755,3.877,0.651,0.562,0.0,1,0.0
12,1.45,29,accelerate,2.842,2.145,13.019,9.145,3.874,0.698,6.07,12.879,2.755,3.734,0.611,0.542,0.0,0,0.05
12,1.5,30,accelerate,2.887,2.199,13.056,9.199,3.857,0.688,5.937,12.774,2.755,3.574,0.556,0.52,0.0,0,0.1
12,1.55,31,accelerate,2.886,2.254,13.092,9.254,3.838,0.632,5.808,13.092,2.886,3.838,0.632,0.558,0.0,1,0.0
12,1.6,32,accelerate,2.919,2.318,13.125,9.318,3.808,0.601,5.663,12.981,2.886,3.663,0.569,0.533,0.0,0,0.05
12,1.65,33,accelerate,2.98,2.369,13.158,9.369,3.789,0.611,5.553,13.158,2.98,3.789,0.611,0.552,0.0,1,0.0
12,1.7,34,accelerate,3.108,2.418,13.193,9.418,3.775,0.69,5.455,13.041,2.98,3.623,0.562,0.529,0.0,0,0.05
12,1.75,35,accelerate,3.256,2.476,13.233,9.476,3.756,0.779,5.343,12.921,2.98,3.445,0.504,0.504,0.0,0,0.1
12,1.8,36,accelerate,3.447,2.557,13.277,9.557,3.72,0.89,5.192,12.797,2.98,3.24,0.423,0.474,0.0,0,0.15
12,1.85,37,accelerate,3.624,2.624,13.326,9.624,3.702,1.0,5.078,12.67,2.98,3.046,0.356,0.447,0.0,0,0.2
12,1.9,38,accelerate,3.752,2.687,13.38,9.687,3.693,1.065,4.98,12.539,2.98,2.852,0.293,0.419,0.0,0,0.25
12,1.95,39,accelerate,3.783,2.732,13.435,9.732,3.703,1.051,4.917,12.405,2.98,2.673,0.248,0.394,0.0,0,0.3
12,2.0,40,accelerate,3.783,2.772,13.487,9.772,3.715,1.011,4.865,12.269,2.98,2.497,0.208,0.37,0.0,0,0.35
12,2.05,41,accelerate,3.797,2.794,13.538,9.794,3.745,1.004,4.846,13.538,3.797,3.745,1.004,0.563,0.0,1,0.0
12,2.1,42,accelerate,3.888,2.821,13.591,9.821,3.77,1.067,4.818,13.399,3.797,3.578,0.976,0.541,0.0,0,0.05
12,2.15,43,accelerate,4.026,2.861,13.649,9.861,3.788,1.165,4.771,13.649,4.026,3.788,1.165,0.576,0.0,1,0.0
12,2.2,44,accelerate,4.199,2.921,13.711,9.921,3.79,1.278,4.694,13.505,4.026,3.584,1.105,0.547,0.0,0,0.05
12,2.25,45,accelerate,4.381,2.989,13.779,9.989,3.79,1.392,4.61,13.779,4.381,3.79,1.392,0.585,0.0,1,0.0
12,2.3,46,accelerate,4.541,3.071,13.853,10.071,3.782,1.47,4.511,13.853,4.541,3.782,1.47,0.587,0.0,1,0.0
