episode,time_sec,tick,leader_phase,leader_speed_mps,follower_speed_mps,distance_m,desired_distance_m,spacing_error_m,relative_velocity_mps,thw_sec,observed_distance_m,observed_lead_speed_mps,control_spacing_error_m,control_relative_velocity_mps,throttle,brake,comm_success,time_since_last_comm_success_sec
6,0.05,1,accelerate,0.0,0.0,12.825,7.0,5.825,0.0,128.247,12.825,0.0,5.825,0.0,0.778,0.0,1,0.0
6,0.1,2,accelerate,0.003,0.003,12.825,7.003,5.822,0.0,128.247,12.825,0.003,5.822,0.0,0.778,0.0,1,0.0
6,0.15,3,accelerate,0.001,0.001,12.825,7.001,5.824,0.0,128.247,12.825,0.001,5.824,0.0,0.779,0.0,1,0.0
6,0.2,4,accelerate,0.0,0.0,12.825,7.0,5.825,-0.0,128.247,12.825,0.0,5.825,-0.0,0.78,0.0,1,0.0
6,0.25,5,accelerate,0.0,0.001,12.825,7.001,5.824,-0.0,128.247,12.825,0.0,5.824,-0.0,0.781,0.0,0,0.05
6,0.3,6,accelerate,0.001,0.001,12.825,7.001,5.824,-0.0,128.247,12.825,0.001,5.824,-0.0,0.782,0.0,1,0.0
6,0.35,7,accelerate,0.001,0.001,12.825,7.001,5.824,-0.0,128.247,12.825,0.001,5.824,-0.0,0.783,0.0,1,0.0
6,0.4,8,accelerate,0.0,0.0,12.825,7.0,5.824,-0.0,128.247,12.825,0.0,5.824,-0.0,0.784,0.0,1,0.0
6,0.45,9,accelerate,0.0,0.0,12.825,7.0,5.824,-0.0,128.247,12.825,0.0,5.824,0.0,0.785,0.0,0,0.05
6,0.5,10,accelerate,0.0,0.0,12.825,7.0,5.825,-0.0,128.247,12.825,0.0,5.825,-0.0,0.786,0.0,1,0.0
6,0.55,11,accelerate,0.0,0.0,12.825,7.0,5.825,-0.0,128.247,12.825,0.0,5.825,-0.0,0.787,0.0,1,0.0
6,0.6,12,accelerate,0.0,0.0,12.825,7.0,5.825,-0.0,128.247,12.825,0.0,5.825,0.0,0.788,0.0,0,0.05
6,0.65,13,accelerate,0.158,0.305,12.82,7.305,5.515,-0.146,42.097,12.82,0.158,5.515,-0.146,0.743,0.0,1,0.0
6,0.7,14,accelerate,0.518,0.628,12.815,7.628,5.187,-0.11,20.405,12.815,0.518,5.187,-0.11,0.701,0.0,1,0.0
6,0.75,15,accelerate,0.821,0.893,12.812,7.893,4.919,-0.072,14.346,12.812,0.821,4.919,-0.072,0.668,0.0,1,0.0
6,0.8,16,accelerate,1.035,1.004,12.813,8.004,4.809,0.031,12.762,12.766,0.821,4.762,-0.183,0.644,0.0,0,0.05
6,0.85,17,accelerate,1.162,1.109,12.816,8.109,4.707,0.053,11.556,12.816,1.162,4.707,0.053,0.645,0.0,1,0.0
6,0.9,18,accelerate,1.301,1.261,12.82,8.261,4.559,0.04,10.167,12.82,1.301,4.559,0.04,0.626,0.0,1,0.0
6,0.95,19,accelerate,1.417,1.365,12.824,8.365,4.46,0.053,9.398,12.824,1.417,4.46,0.053,0.614,0.0,1,0.0
6,1.0,20,accelerate,1.543,1.471,12.829,8.471,4.358,0.071,8.72,12.829,1.543,4.358,0.071,0.602,0.0,1,0.0
6,1.05,21,accelerate,1.645,1.556,12.837,8.556,4.28,0.088,8.247,12.837,1.645,4.28,0.088,0.592,0.0,1,0.0
6,1.1,22,accelerate,1.806,1.62,12.847,8.62,4.227,0.186,7.931,12.847,1.806,4.227,0.186,0.589,0.0,1,0.0
6,1.15,23,accelerate,1.917,1.691,12.859,8.691,4.168,0.226,7.603,12.766,1.806,4.075,0.114,0.567,0.0,0,0.05
6,1.2,24,accelerate,2.082,1.76,12.876,8.76,4.116,0.322,7.316,12.683,1.806,3.923,0.046,0.545,0.0,0,0.1
6,1.25,25,accelerate,2.228,1.827,12.897,8.827,4.069,0.401,7.058,12.897,2.228,4.069,0.401,0.577,0.0,1,0.0
6,1.3,26,accelerate,2.418,1.894,12.923,8.894,4.029,0.524,6.823,12.923,2.418,4.029,0.524,0.577,0.0,1,0.0
6,1.35,27,accelerate,2.584,1.966,12.954,8.966,3.988,0.618,6.589,12.954,2.584,3.988,0.618,0.575,0.0,1,0.0
6,1.4,28,accelerate,2.755,2.041,12.991,9.041,3.95,0.714,6.364,12.991,2.755,3.95,0.714,0.574,0.0,1,0.0
6,1.45,29,accelerate,2.842,2.121,13.03,9.121,3.908,0.721,6.142,13.03,2.842,3.908,0.721,0.569,0.0,1,0.0
6,1.5,30,accelerate,2.887,2.203,13.067,9.203,3.865,0.684,5.932,12.925,2.842,3.722,0.639,0.542,0.0,0,0.05
6,1.55,31,accelerate,2.886,2.286,13.102,9.286,3.816,0.601,5.732,12.815,2.842,3.53,0.556,0.515,0.0,0,0.1
6,1.6,32,accelerate,2.919,2.363,13.134,9.363,3.77,0.555,5.557,12.703,2.842,3.339,0.479,0.487,0.0,0,0.15
6,1.65,33,accelerate,2.98,2.422,13.164,9.422,3.742,0.558,5.436,13.164,2.98,3.742,0.558,0.544,0.0,1,0.0
6,1.7,34,accelerate,3.108,2.466,13.196,9.466,3.73,0.642,5.351,13.196,3.108,3.73,0.642,0.546,0.0,1,0.0
6,1.75,35,accelerate,3.256,2.528,13.233,9.528,3.706,0.728,5.236,13.074,3.108,3.547,0.581,0.52,0.0,0,0.05
6,1.8,36,accelerate,3.447,2.607,13.275,9.607,3.668,0.84,5.092,12.948,3.108,3.341,0.501,0.49,0.0,0,0.1
6,1.85,37,accelerate,3.624,2.683,13.322,9.683,3.639,0.941,4.966,13.322,3.624,3.639,0.941,0.546,0.0,1,0.0
6,1.9,38,accelerate,3.752,2.754,13.373,9.754,3.619,0.998,4.856,13.373,3.752,3.619,0.998,0.545,0.0,1,0.0
6,1.95,39,accelerate,3.783,2.831,13.423,9.831,3.592,0.952,4.742,13.235,3.752,3.404,0.921,0.515,0.0,0,0.05
