episode,time_sec,tick,leader_phase,leader_speed_mps,follower_speed_mps,distance_m,desired_distance_m,spacing_error_m,relative_velocity_mps,thw_sec,observed_distance_m,observed_lead_speed_mps,control_spacing_error_m,control_relative_velocity_mps,throttle,brake,comm_success,time_since_last_comm_success_sec
3,0.05,1,accelerate,0.0,0.0,12.825,7.0,5.825,0.0,128.247,12.825,0.0,5.825,0.0,0.778,0.0,1,0.0
3,0.1,2,accelerate,0.003,0.003,12.825,7.003,5.822,0.0,128.247,12.825,0.0,5.822,-0.003,0.778,0.0,0,0.05
3,0.15,3,accelerate,0.001,0.001,12.825,7.001,5.824,0.0,128.247,12.825,0.001,5.824,0.0,0.779,0.0,1,0.0
3,0.2,4,accelerate,0.0,0.0,12.825,7.0,5.825,-0.0,128.247,12.825,0.0,5.825,-0.0,0.78,0.0,1,0.0
3,0.25,5,accelerate,0.0,0.001,12.825,7.001,5.824,-0.0,128.247,12.825,0.0,5.824,-0.0,0.781,0.0,1,0.0
3,0.3,6,accelerate,0.001,0.001,12.825,7.001,5.824,-0.0,128.247,12.825,0.0,5.824,-0.0,0.782,0.0,0,0.05
3,0.35,7,accelerate,0.001,0.001,12.825,7.001,5.824,-0.0,128.247,12.825,0.001,5.824,-0.0,0.783,0.0,1,0.0
3,0.4,8,accelerate,0.0,0.0,12.825,7.0,5.824,-0.0,128.247,12.825,0.0,5.824,-0.0,0.784,0.0,1,0.0
3,0.45,9,accelerate,0.0,0.0,12.825,7.0,5.824,-0.0,128.247,12.825,0.0,5.824,-0.0,0.785,0.0,1,0.0
3,0.5,10,accelerate,0.0,0.0,12.825,7.0,5.825,-0.0,128.247,12.825,0.0,5.825,0.0,0.786,0.0,0,0.05
3,0.55,11,accelerate,0.0,0.0,12.825,7.0,5.825,-0.0,128.247,12.825,0.0,5.825,-0.0,0.787,0.0,1,0.0
3,0.6,12,accelerate,0.0,0.0,12.825,7.0,5.825,-0.0,128.247,12.825,0.0,5.825,0.0,0.788,0.0,0,0.05
3,0.65,13,accelerate,0.158,0.305,12.82,7.305,5.515,-0.146,42.097,12.82,0.158,5.515,-0.146,0.743,0.0,1,0.0
3,0.7,14,accelerate,0.518,0.628,12.815,7.628,5.187,-0.11,20.405,12.815,0.518,5.187,-0.11,0.701,0.0,1,0.0
3,0.75,15,accelerate,0.821,0.893,12.812,7.893,4.919,-0.072,14.341,12.812,0.821,4.919,-0.072,0.668,0.0,1,0.0
3,0.8,16,accelerate,1.035,1.004,12.814,8.004,4.81,0.03,12.758,12.767,0.821,4.762,-0.183,0.644,0.0,0,0.05
3,0.85,17,accelerate,1.162,1.149,12.817,8.149,4.667,0.013,11.151,12.817,1.162,4.667,0.013,0.639,0.0,1,0.0
3,0.9,18,accelerate,1.301,1.263,12.821,8.263,4.557,0.038,10.147,12.759,1.162,4.496,-0.101,0.613,0.0,0,0.05
3,0.95,19,accelerate,1.417,1.33,12.826,8.33,4.496,0.087,9.646,12.826,1.417,4.496,0.087,0.62,0.0,1,0.0
3,1.0,20,accelerate,1.543,1.445,12.832,8.445,4.388,0.098,8.883,12.832,1.543,4.388,0.098,0.606,0.0,1,0.0
3,1.05,21,accelerate,1.645,1.51,12.841,8.51,4.331,0.134,8.503,12.841,1.645,4.331,0.134,0.601,0.0,1,0.0
3,1.1,22,accelerate,1.806,1.633,12.852,8.633,4.219,0.173,7.871,12.852,1.806,4.219,0.173,0.588,0.0,1,0.0
3,1.15,23,accelerate,1.917,1.665,12.865,8.665,4.2,0.252,7.726,12.865,1.917,4.2,0.252,0.589,0.0,1,0.0
3,1.2,24,accelerate,2.082,1.748,12.883,8.748,4.135,0.334,7.371,12.883,2.082,4.135,0.334,0.583,0.0,1,0.0
3,1.25,25,accelerate,2.228,1.801,12.905,8.801,4.103,0.427,7.163,12.905,2.228,4.103,0.427,0.583,0.0,1,0.0
3,1.3,26,accelerate,2.418,1.893,12.931,8.893,4.038,0.525,6.83,12.815,2.228,3.922,0.335,0.556,0.0,0,0.05
3,1.35,27,accelerate,2.584,1.954,12.963,8.954,4.009,0.63,6.633,12.722,2.228,3.767,0.274,0.534,0.0,0,0.1
3,1.4,28,accelerate,2.755,2.046,13.0,9.046,3.953,0.709,6.353,13.0,2.755,3.953,0.709,0.574,0.0,1,0.0
3,1.45,29,accelerate,2.842,2.108,13.039,9.108,3.931,0.734,6.186,12.899,2.755,3.791,0.647,0.551,0.0,0,0.05
3,1.5,30,accelerate,2.887,2.202,13.077,9.202,3.875,0.685,5.939,13.077,2.887,3.875,0.685,0.564,0.0,1,0.0
3,1.55,31,accelerate,2.886,2.268,13.112,9.268,3.844,0.618,5.781,13.112,2.886,3.844,0.618,0.559,0.0,1,0.0
3,1.6,32,accelerate,2.919,2.364,13.144,9.364,3.78,0.554,5.559,13.144,2.919,3.78,0.554,0.548,0.0,1,0.0
3,1.65,33,accelerate,2.98,2.42,13.174,9.42,3.754,0.56,5.443,13.028,2.919,3.607,0.498,0.524,0.0,0,0.05
3,1.7,34,accelerate,3.108,2.49,13.206,9.49,3.717,0.619,5.305,13.206,3.108,3.717,0.619,0.543,0.0,1,0.0
3,1.75,35,accelerate,3.256,2.545,13.242,9.545,3.697,0.711,5.203,13.083,3.108,3.538,0.563,0.518,0.0,0,0.05
3,1.8,36,accelerate,3.447,2.641,13.283,9.641,3.641,0.806,5.029,13.283,3.447,3.641,0.806,0.541,0.0,1,0.0
3,1.85,37,accelerate,3.624,2.713,13.328,9.713,3.615,0.911,4.913,13.328,3.624,3.615,0.911,0.541,0.0,1,0.0
3,1.9,38,accelerate,3.752,2.805,13.377,9.805,3.572,0.947,4.769,13.192,3.624,3.387,0.819,0.509,0.0,0,0.05
3,1.95,39,accelerate,3.783,2.875,13.425,9.875,3.55,0.908,4.67,13.051,3.624,3.177,0.749,0.479,0.0,0,0.1
3,2.0,40,accelerate,3.783,2.957,13.469,9.957,3.512,0.826,4.555,13.469,3.783,3.512,0.826,0.527,0.0,1,0.0
3,2.05,41,accelerate,3.797,3.017,13.51,10.017,3.492,0.78,4.477,13.321,3.783,3.303,0.765,0.497,0.0,0,0.05
3,2.1,42,accelerate,3.888,3.096,13.55,10.096,3.454,0.793,4.377,13.55,3.888,3.454,0.793,0.519,0.0,1,0.0
3,2.15,43,accelerate,4.026,3.156,13.593,10.156,3.436,0.869,4.306,13.395,3.888,3.238,0.732,0.489,0.0,0,0.05
3,2.2,44,accelerate,4.199,3.232,13.64,10.232,3.408,0.967,4.22,13.236,3.888,3.004,0.656,0.455,0.0,0,0.1
3,2.25,45,accelerate,4.381,3.286,13.694,10.286,3.408,1.095,4.167,13.694,4.381,3.408,1.095,0.524,0.0,1,0.0
3,2.3,46,accelerate,4.541,3.353,13.753,10.353,3.399,1.187,4.101,13.753,4.541,3.399,1.187,0.527,0.0,1,0.0
3,2.35,47,accelerate,4.619,3.414,13.814,10.414,3.4,1.205,4.046,13.814,4.619,3.4,1.205,0.528,0.0,1,0.0
3,2.4,48,accelerate,4.628,3.493,13.873,10.493,3.38,1.134,3.971,13.873,4.628,3.38,1.134,0.524,0.0,1,0.0
3,2.45,49,accelerate,4.627,3.563,13.929,10.563,3.366,1.064,3.909,13.929,4.627,3.366,1.064,0.52,0.0,1,0.0
3,2.5,50,accelerate,4.685,3.645,13.982,10.645,3.337,1.04,3.836,13.75,4.627,3.105,0.982,0.483,0.0,0,0.05
3,2.55,51,accelerate,4.803,3.7,14.037,10.7,3.337,1.103,3.794,14.037,4.803,3.337,1.103,0.519,0.0,1,0.0
3,2.6,52,accelerate,4.956,3.772,14.095,10.772,3.323,1.184,3.737,14.095,4.956,3.323,1.184,0.52,0.0,1,0.0
3,2.65,53,accelerate,5.128,3.842,14.158,10.842,3.316,1.286,3.686,13.905,4.956,3.064,1.114,0.484,0.0,0,0.05
3,2.7,54,accelerate,5.243,3.914,14.225,10.914,3.311,1.329,3.634,14.225,5.243,3.311,1.329,0.524,0.0,1,0.0
3,2.75,55,accelerate,5.09,3.977,14.285,10.977,3.308,1.113,3.592,14.285,5.09,3.308,1.113,0.517,0.0,1,0.0
