episode,time_sec,tick,leader_phase,leader_speed_mps,follower_speed_mps,distance_m,desired_distance_m,spacing_error_m,relative_velocity_mps,thw_sec,observed_distance_m,observed_lead_speed_mps,control_spacing_error_m,control_relative_velocity_mps,throttle,brake,comm_success,time_since_last_comm_success_sec
12,0.05,1,accelerate,0.0,0.0,12.825,7.0,5.825,0.0,128.247,12.825,0.0,5.825,0.0,0.778,0.0,0,0.05
12,0.1,2,accelerate,0.003,0.003,12.825,7.003,5.822,0.0,128.247,12.825,0.003,5.822,0.0,0.778,0.0,1,0.0
12,0.15,3,accelerate,0.001,0.001,12.825,7.001,5.824,0.0,128.247,12.825,0.001,5.824,0.0,0.779,0.0,1,0.0
12,0.2,4,accelerate,0.0,0.0,12.825,7.0,5.825,-0.0,128.247,12.825,0.0,5.825,-0.0,0.78,0.0,1,0.0
12,0.25,5,accelerate,0.0,0.001,12.825,7.001,5.824,-0.0,128.247,12.825,0.0,5.824,-0.0,0.781,0.0,1,0.0
12,0.3,6,accelerate,0.001,0.001,12.825,7.001,5.824,-0.0,128.247,12.825,0.001,5.824,-0.0,0.782,0.0,1,0.0
12,0.35,7,accelerate,0.001,0.001,12.825,7.001,5.824,-0.0,128.247,12.825,0.001,5.824,0.0,0.783,0.0,0,0.05
12,0.4,8,accelerate,0.0,0.0,12.825,7.0,5.824,-0.0,128.247,12.825,0.001,5.824,0.0,0.784,0.0,0,0.1
12,0.45,9,accelerate,0.0,0.0,12.825,7.0,5.824,-0.0,128.247,12.825,0.0,5.824,-0.0,0.785,0.0,1,0.0
12,0.5,10,accelerate,0.0,0.0,12.825,7.0,5.825,-0.0,128.247,12.825,0.0,5.825,0.0,0.786,0.0,0,0.05
12,0.55,11,accelerate,0.0,0.0,12.825,7.0,5.825,-0.0,128.247,12.825,0.0,5.825,-0.0,0.787,0.0,1,0.0
12,0.6,12,accelerate,0.0,0.0,12.825,7.0,5.825,-0.0,128.247,12.825,0.0,5.825,-0.0,0.788,0.0,1,0.0
12,0.65,13,accelerate,0.158,0.305,12.82,7.305,5.515,-0.146,42.097,12.82,0.158,5.515,-0.146,0.743,0.0,1,0.0
12,0.7,14,accelerate,0.518,0.628,12.815,7.628,5.187,-0.11,20.405,12.796,0.158,5.168,-0.47,0.687,0.0,0,0.05
12,0.75,15,accelerate,0.821,0.893,12.812,7.893,4.919,-0.072,14.351,12.812,0.821,4.919,-0.072,0.668,0.0,1,0.0
12,0.8,16,accelerate,1.035,1.026,12.814,8.026,4.788,0.009,12.495,12.766,0.821,4.741,-0.204,0.64,0.0,0,0.05
12,0.85,17,accelerate,1.162,1.144,12.816,8.144,4.672,0.018,11.202,12.816,1.162,4.672,0.018,0.639,0.0,1,0.0
12,0.9,18,accelerate,1.301,1.26,12.82,8.26,4.56,0.041,10.172,12.82,1.301,4.56,0.041,0.626,0.0,1,0.0
12,0.95,19,accelerate,1.417,1.334,12.826,8.334,4.491,0.083,9.614,12.758,1.301,4.424,-0.033,0.606,0.0,0,0.05
12,1.0,20,accelerate,1.543,1.461,12.831,8.461,4.37,0.081,8.782,12.831,1.543,4.37,0.081,0.603,0.0,1,0.0
12,1.05,21,accelerate,1.645,1.514,12.839,8.514,4.325,0.13,8.48,12.839,1.645,4.325,0.13,0.6,0.0,1,0.0
12,1.1,22,accelerate,1.806,1.585,12.851,8.585,4.266,0.221,8.109,12.851,1.806,4.266,0.221,0.596,0.0,1,0.0
12,1.15,23,accelerate,1.917,1.64,12.866,8.64,4.226,0.277,7.845,12.866,1.917,4.226,0.277,0.593,0.0,1,0.0
12,1.2,24,accelerate,2.082,1.769,12.883,8.769,4.114,0.313,7.283,12.883,2.082,4.114,0.313,0.58,0.0,1,0.0
12,1.25,25,accelerate,2.228,1.821,12.904,8.821,4.083,0.407,7.087,12.904,2.228,4.083,0.407,0.58,0.0,1,0.0
12,1.3,26,accelerate,2.418,1.915,12.929,8.915,4.014,0.503,6.75,12.813,2.228,3.898,0.313,0.552,0.0,0,0.05
12,1.35,27,accelerate,2.584,1.97,12.96,8.97,3.99,0.614,6.578,12.96,2.584,3.99,0.614,0.575,0.0,1,0.0
12,1.4,28,accelerate,2.755,2.055,12.996,9.055,3.941,0.7,6.324,12.863,2.584,3.807,0.529,0.549,0.0,0,0.05
12,1.45,29,accelerate,2.842,2.113,13.035,9.113,3.922,0.729,6.168,13.035,2.842,3.922,0.729,0.571,0.0,1,0.0
12,1.5,30,accelerate,2.887,2.204,13.073,9.204,3.869,0.683,5.931,13.073,2.887,3.869,0.683,0.563,0.0,1,0.0
12,1.55,31,accelerate,2.886,2.27,13.108,9.27,3.838,0.616,5.774,13.108,2.886,3.838,0.616,0.558,0.0,1,0.0
