episode,time_sec,tick,leader_phase,leader_speed_mps,follower_speed_mps,distance_m,desired_distance_m,spacing_error_m,relative_velocity_mps,thw_sec,observed_distance_m,observed_lead_speed_mps,control_spacing_error_m,control_relative_velocity_mps,throttle,brake,comm_success,time_since_last_comm_success_sec
11,0.05,1,accelerate,0.0,0.0,12.825,7.0,5.825,0.0,128.247,12.825,0.0,5.825,0.0,0.778,0.0,0,0.05
11,0.1,2,accelerate,0.003,0.003,12.825,7.003,5.822,0.0,128.247,12.825,0.003,5.822,0.0,0.778,0.0,1,0.0
11,0.15,3,accelerate,0.001,0.001,12.825,7.001,5.824,0.0,128.247,12.825,0.001,5.824,0.0,0.779,0.0,1,0.0
11,0.2,4,accelerate,0.0,0.0,12.825,7.0,5.825,-0.0,128.247,12.825,0.0,5.825,-0.0,0.78,0.0,1,0.0
11,0.25,5,accelerate,0.0,0.001,12.825,7.001,5.824,-0.0,128.247,12.825,0.0,5.824,-0.0,0.781,0.0,0,0.05
11,0.3,6,accelerate,0.001,0.001,12.825,7.001,5.824,-0.0,128.247,12.825,0.001,5.824,-0.0,0.782,0.0,1,0.0
11,0.35,7,accelerate,0.001,0.001,12.825,7.001,5.824,-0.0,128.247,12.825,0.001,5.824,0.0,0.783,0.0,0,0.05
11,0.4,8,accelerate,0.0,0.0,12.825,7.0,5.824,-0.0,128.247,12.825,0.0,5.824,-0.0,0.784,0.0,1,0.0
11,0.45,9,accelerate,0.0,0.0,12.825,7.0,5.824,-0.0,128.247,12.825,0.0,5.824,-0.0,0.785,0.0,1,0.0
11,0.5,10,accelerate,0.0,0.0,12.825,7.0,5.825,-0.0,128.247,12.825,0.0,5.825,0.0,0.786,0.0,0,0.05
11,0.55,11,accelerate,0.0,0.0,12.825,7.0,5.825,-0.0,128.247,12.825,0.0,5.825,-0.0,0.787,0.0,1,0.0
11,0.6,12,accelerate,0.0,0.0,12.825,7.0,5.825,-0.0,128.247,12.825,0.0,5.825,-0.0,0.788,0.0,1,0.0
11,0.65,13,accelerate,0.158,0.305,12.82,7.305,5.515,-0.146,42.097,12.82,0.158,5.515,-0.146,0.743,0.0,1,0.0
11,0.7,14,accelerate,0.518,0.628,12.815,7.628,5.187,-0.11,20.405,12.815,0.518,5.187,-0.11,0.701,0.0,1,0.0
11,0.75,15,accelerate,0.821,0.893,12.812,7.893,4.919,-0.072,14.346,12.812,0.821,4.919,-0.072,0.668,0.0,1,0.0
11,0.8,16,accelerate,1.035,1.004,12.813,8.004,4.809,0.03,12.759,12.813,1.035,4.809,0.03,0.657,0.0,1,0.0
11,0.85,17,accelerate,1.162,1.123,12.816,8.123,4.693,0.039,11.41,12.816,1.162,4.693,0.039,0.643,0.0,1,0.0
11,0.9,18,accelerate,1.301,1.262,12.821,8.262,4.558,0.039,10.156,12.821,1.301,4.558,0.039,0.626,0.0,1,0.0
11,0.95,19,accelerate,1.417,1.381,12.825,8.381,4.444,0.036,9.286,12.825,1.417,4.444,0.036,0.611,0.0,1,0.0
11,1.0,20,accelerate,1.543,1.443,12.829,8.443,4.387,0.1,8.892,12.756,1.417,4.313,-0.026,0.592,0.0,0,0.05
11,1.05,21,accelerate,1.645,1.561,12.837,8.561,4.277,0.084,8.226,12.837,1.645,4.277,0.084,0.592,0.0,1,0.0
11,1.1,22,accelerate,1.806,1.623,12.847,8.623,4.224,0.183,7.915,12.847,1.806,4.224,0.183,0.589,0.0,1,0.0
11,1.15,23,accelerate,1.917,1.737,12.858,8.737,4.121,0.18,7.401,12.858,1.917,4.121,0.18,0.576,0.0,1,0.0
11,1.2,24,accelerate,2.082,1.796,12.872,8.796,4.076,0.286,7.166,12.872,2.082,4.076,0.286,0.574,0.0,1,0.0
