episode,time_sec,tick,leader_phase,leader_speed_mps,follower_speed_mps,distance_m,desired_distance_m,spacing_error_m,relative_velocity_mps,thw_sec,observed_distance_m,observed_lead_speed_mps,control_spacing_error_m,control_relative_velocity_mps,throttle,brake,comm_success,time_since_last_comm_success_sec
7,0.05,1,accelerate,0.0,0.0,12.825,7.0,5.825,0.0,128.247,12.825,0.0,5.825,0.0,0.778,0.0,1,0.0
7,0.1,2,accelerate,0.003,0.003,12.825,7.003,5.822,0.0,128.247,12.825,0.0,5.822,-0.003,0.778,0.0,0,0.05
7,0.15,3,accelerate,0.001,0.001,12.825,7.001,5.824,0.0,128.247,12.825,0.001,5.824,0.0,0.779,0.0,1,0.0
7,0.2,4,accelerate,0.0,0.0,12.825,7.0,5.825,-0.0,128.247,12.825,0.0,5.825,-0.0,0.78,0.0,1,0.0
7,0.25,5,accelerate,0.0,0.001,12.825,7.001,5.824,-0.0,128.247,12.825,0.0,5.824,-0.0,0.781,0.0,0,0.05
7,0.3,6,accelerate,0.001,0.001,12.825,7.001,5.824,-0.0,128.247,12.825,0.001,5.824,-0.0,0.782,0.0,1,0.0
7,0.35,7,accelerate,0.001,0.001,12.825,7.001,5.824,-0.0,128.247,12.825,0.001,5.824,0.0,0.783,0.0,0,0.05
7,0.4,8,accelerate,0.0,0.0,12.825,7.0,5.824,-0.0,128.247,12.825,0.0,5.824,-0.0,0.784,0.0,1,0.0
7,0.45,9,accelerate,0.0,0.0,12.825,7.0,5.824,-0.0,128.247,12.825,0.0,5.824,-0.0,0.785,0.0,1,0.0
7,0.5,10,accelerate,0.0,0.0,12.825,7.0,5.825,-0.0,128.247,12.825,0.0,5.825,-0.0,0.786,0.0,1,0.0
7,0.55,11,accelerate,0.0,0.0,12.825,7.0,5.825,-0.0,128.247,12.825,0.0,5.825,-0.0,0.787,0.0,0,0.05
7,0.6,12,accelerate,0.0,0.0,12.825,7.0,5.825,-0.0,128.247,12.825,0.0,5.825,-0.0,0.788,0.0,1,0.0
7,0.65,13,accelerate,0.158,0.305,12.82,7.305,5.515,-0.146,42.097,12.82,0.158,5.515,-0.146,0.743,0.0,1,0.0
7,0.7,14,accelerate,0.518,0.628,12.815,7.628,5.187,-0.11,20.405,12.815,0.518,5.187,-0.11,0.701,0.0,1,0.0
7,0.75,15,accelerate,0.821,0.893,12.812,7.893,4.919,-0.072,14.346,12.812,0.821,4.919,-0.072,0.668,0.0,1,0.0
7,0.8,16,accelerate,1.035,1.004,12.813,8.004,4.809,0.031,12.762,12.813,1.035,4.809,0.031,0.657,0.0,1,0.0
7,0.85,17,accelerate,1.162,1.122,12.816,8.122,4.694,0.04,11.421,12.816,1.162,4.694,0.04,0.643,0.0,1,0.0
7,0.9,18,accelerate,1.301,1.267,12.819,8.267,4.552,0.034,10.119,12.819,1.301,4.552,0.034,0.625,0.0,1,0.0
7,0.95,19,accelerate,1.417,1.342,12.824,8.342,4.482,0.075,9.553,12.824,1.417,4.482,0.075,0.617,0.0,1,0.0
7,1.0,20,accelerate,1.543,1.474,12.83,8.474,4.356,0.069,8.705,12.83,1.543,4.356,0.069,0.601,0.0,1,0.0
7,1.05,21,accelerate,1.645,1.549,12.837,8.549,4.287,0.095,8.285,12.837,1.645,4.287,0.095,0.594,0.0,1,0.0
7,1.1,22,accelerate,1.806,1.675,12.845,8.675,4.17,0.131,7.668,12.758,1.645,4.083,-0.031,0.563,0.0,0,0.05
7,1.15,23,accelerate,1.917,1.741,12.855,8.741,4.115,0.177,7.385,12.855,1.917,4.115,0.177,0.575,0.0,1,0.0
7,1.2,24,accelerate,2.082,1.854,12.868,8.854,4.014,0.228,6.941,12.868,2.082,4.014,0.228,0.564,0.0,1,0.0
7,1.25,25,accelerate,2.228,1.912,12.885,8.912,3.972,0.316,6.738,12.885,2.228,3.972,0.316,0.562,0.0,1,0.0
7,1.3,26,accelerate,2.418,2.015,12.906,9.015,3.891,0.403,6.405,12.906,2.418,3.891,0.403,0.554,0.0,1,0.0
7,1.35,27,accelerate,2.584,2.078,12.932,9.078,3.854,0.507,6.224,12.807,2.418,3.729,0.34,0.531,0.0,0,0.05
7,1.4,28,accelerate,2.755,2.122,12.964,9.122,3.842,0.633,6.109,12.964,2.755,3.842,0.633,0.557,0.0,1,0.0
