csv_path,control_efficiency_cost,traffic_disturbance,driving_comfort_cost,average_thw_cost,caution_region_duration,danger_region_duration
outputs_comm/pid_episode_001.csv,13.900563438827099,2.5253987502527098,12.60395360161707,7.519244612963662e-05,4.7500000000000675,0.0
outputs_comm/pid_episode_002.csv,13.730682415991904,2.534438578947295,12.36602963562683,2.754454786344288e-05,5.750000000000082,0.0
outputs_comm/pid_episode_003.csv,11.453965657519209,1.956862362239243,11.281784922063027,0.0,0.0,0.0
outputs_comm/pid_episode_004.csv,14.051734108629443,2.6975079837562683,14.011894594923056,8.010859531466542e-05,5.700000000000081,0.0
outputs_comm/pid_episode_005.csv,12.1163996875,2.2710511483050193,11.42756411864341,2.318214439122649e-06,0.20000000000000284,0.0
outputs_comm/pid_episode_006.csv,11.274875708333335,1.9530929999999447,11.889490526315118,0.0,0.0,0.0
outputs_comm/pid_episode_007.csv,13.575009435222672,2.5201093400808996,12.589249927124783,3.204561010284313e-05,8.750000000000124,0.0
outputs_comm/pid_episode_008.csv,11.191049431868134,1.8787258021977478,10.158062523076342,0.0,0.0,0.0
outputs_comm/pid_episode_009.csv,11.682410049288062,1.9930215377874563,12.647363750273106,0.0,0.0,0.0
outputs_comm/pid_episode_010.csv,11.416320418681318,2.0374628615384025,12.170094610988311,0.0,0.0,0.0
outputs_comm/pid_episode_011.csv,11.024896404840483,1.89481838063801,11.16523960395976,0.0,0.0,0.0
outputs_comm/pid_episode_012.csv,11.986482936507938,2.274368689947025,10.786510967195154,2.3590098899812e-05,1.200000000000017,0.0
