csv_path,control_efficiency_cost,traffic_disturbance,driving_comfort_cost,average_thw_cost,caution_region_duration,danger_region_duration
outputs/pid_episode_001.csv,9.606239681668496,1.8331357716794217,8.855265510427602,0.0,0.0,0.0
outputs/pid_episode_002.csv,11.213105954407295,2.3619849442755148,9.068233758864737,0.0001621418716839406,22.150000000000315,0.0
outputs/pid_episode_003.csv,11.213105954407295,2.3619849442755148,9.068233758864737,0.0001621418716839406,22.150000000000315,0.0
outputs/pid_episode_004.csv,9.606239681668496,1.8331357716794217,8.855265510427602,0.0,0.0,0.0
outputs/pid_episode_005.csv,9.606239681668496,1.8331357716794217,8.855265510427602,0.0,0.0,0.0
outputs/pid_episode_006.csv,9.606239681668496,1.8331357716794217,8.855265510427602,0.0,0.0,0.0
outputs/pid_episode_007.csv,9.93392066384778,2.174460241014736,9.060480439745785,4.440343084356351e-05,1.3500000000000192,0.0
outputs/pid_episode_008.csv,9.93392066384778,2.174460241014736,9.060480439745785,4.440343084356351e-05,1.3500000000000192,0.0
outputs/pid_episode_009.csv,9.93392066384778,2.174460241014736,9.060480439745785,4.440343084356351e-05,1.3500000000000192,0.0
outputs/pid_episode_010.csv,9.93392066384778,2.174460241014736,9.060480439745785,4.440343084356351e-05,1.3500000000000192,0.0
outputs/pid_episode_011.csv,9.93392066384778,2.174460241014736,9.060480439745785,4.440343084356351e-05,1.3500000000000192,0.0
outputs/pid_episode_012.csv,9.606239681668496,1.8331357716794217,8.855265510427602,0.0,0.0,0.0
outputs/pid_episode_013.csv,9.606239681668496,1.8331357716794217,8.855265510427602,0.0,0.0,0.0
outputs/pid_episode_014.csv,9.606239681668496,1.8331357716794217,8.855265510427602,0.0,0.0,0.0
outputs/pid_episode_015.csv,9.606239681668496,1.8331357716794217,8.855265510427602,0.0,0.0,0.0
