episode,time_sec,tick,leader_phase,leader_speed_mps,follower_speed_mps,distance_m,desired_distance_m,spacing_error_m,relative_velocity_mps,throttle,brake
7,0.05,1,accelerate,0.0,0.0,12.825,7.0,5.825,0.0,0.778,0.0
7,0.1,2,accelerate,0.003,0.003,12.825,7.003,5.822,0.0,0.778,0.0
7,0.15,3,accelerate,0.001,0.001,12.825,7.001,5.824,0.0,0.779,0.0
7,0.2,4,accelerate,0.0,0.0,12.825,7.0,5.825,-0.0,0.78,0.0
7,0.25,5,accelerate,0.0,0.001,12.825,7.001,5.824,-0.0,0.781,0.0
7,0.3,6,accelerate,0.001,0.001,12.825,7.001,5.824,-0.0,0.782,0.0
7,0.35,7,accelerate,0.001,0.001,12.825,7.001,5.824,-0.0,0.783,0.0
7,0.4,8,accelerate,0.0,0.0,12.825,7.0,5.824,-0.0,0.784,0.0
7,0.45,9,accelerate,0.0,0.0,12.825,7.0,5.824,-0.0,0.785,0.0
7,0.5,10,accelerate,0.0,0.0,12.825,7.0,5.825,-0.0,0.786,0.0
7,0.55,11,accelerate,0.0,0.0,12.825,7.0,5.825,-0.0,0.787,0.0
7,0.6,12,accelerate,0.0,0.0,12.825,7.0,5.825,-0.0,0.788,0.0
7,0.65,13,accelerate,0.158,0.305,12.82,7.305,5.515,-0.146,0.743,0.0
7,0.7,14,accelerate,0.518,0.628,12.815,7.628,5.187,-0.11,0.701,0.0
7,0.75,15,accelerate,0.821,0.893,12.812,7.893,4.919,-0.072,0.668,0.0
7,0.8,16,accelerate,1.035,1.004,12.813,8.004,4.809,0.031,0.657,0.0
7,0.85,17,accelerate,1.162,1.118,12.816,8.118,4.698,0.045,0.644,0.0
7,0.9,18,accelerate,1.301,1.265,12.819,8.265,4.554,0.036,0.625,0.0
7,0.95,19,accelerate,1.417,1.369,12.822,8.369,4.453,0.048,0.613,0.0
7,1.0,20,accelerate,1.543,1.421,12.829,8.421,4.408,0.121,0.61,0.0
7,1.05,21,accelerate,1.645,1.5,12.838,8.5,4.338,0.144,0.602,0.0
7,1.1,22,accelerate,1.806,1.584,12.851,8.584,4.267,0.222,0.596,0.0
7,1.15,23,accelerate,1.917,1.712,12.864,8.712,4.151,0.205,0.581,0.0
7,1.2,24,accelerate,2.082,1.772,12.879,8.772,4.108,0.31,0.579,0.0
7,1.25,25,accelerate,2.228,1.863,12.899,8.863,4.035,0.365,0.572,0.0
7,1.3,26,accelerate,2.418,1.909,12.924,8.909,4.015,0.509,0.575,0.0
7,1.35,27,accelerate,2.584,1.993,12.954,8.993,3.961,0.592,0.571,0.0
7,1.4,28,accelerate,2.755,2.051,12.99,9.051,3.939,0.705,0.572,0.0
7,1.45,29,accelerate,2.842,2.144,13.028,9.144,3.884,0.699,0.565,0.0
7,1.5,30,accelerate,2.887,2.21,13.065,9.21,3.855,0.677,0.561,0.0
7,1.55,31,accelerate,2.886,2.307,13.099,9.307,3.792,0.58,0.55,0.0
7,1.6,32,accelerate,2.919,2.377,13.13,9.377,3.753,0.542,0.545,0.0
7,1.65,33,accelerate,2.98,2.458,13.159,9.458,3.701,0.522,0.538,0.0
7,1.7,34,accelerate,3.108,2.504,13.19,9.504,3.686,0.604,0.539,0.0
7,1.75,35,accelerate,3.256,2.583,13.224,9.583,3.641,0.673,0.536,0.0
7,1.8,36,accelerate,3.447,2.66,13.263,9.66,3.603,0.787,0.535,0.0
7,1.85,37,accelerate,3.624,2.755,13.307,9.755,3.552,0.869,0.532,0.0
7,1.9,38,accelerate,3.752,2.828,13.354,9.828,3.526,0.924,0.531,0.0
7,1.95,39,accelerate,3.783,2.919,13.4,9.919,3.482,0.864,0.523,0.0
7,2.0,40,accelerate,3.783,2.99,13.443,9.99,3.453,0.793,0.518,0.0
7,2.05,41,accelerate,3.797,3.076,13.481,10.076,3.405,0.721,0.509,0.0
7,2.1,42,accelerate,3.888,3.144,13.519,10.144,3.375,0.744,0.507,0.0
7,2.15,43,accelerate,4.026,3.225,13.559,10.225,3.333,0.8,0.504,0.0
7,2.2,44,accelerate,4.199,3.289,13.603,10.289,3.314,0.91,0.505,0.0
